Manholes 756
ID X Y Z Inflow
72 7625 375 2.6101264976 0.00197
112 7375 625 2.3818826704 0.00101
113 7625 625 4.6835508832 0.150456825817999
114 7875 625 4.9445770864 0.0228341357657
115 8125 625 2.5807065904 0.882104775301
116 8375 625 2.4980538576 0.0364831800181
152 7125 875 3.0621711136 0.00159
153 7375 875 3.3703569248 0.114828880725
154 7625 875 3.6485709632 0.219424181414999
155 7875 875 2.593337616 0.041884784674
156 8125 875 1.8540323168 0.19646337746
157 8375 875 2.1468458768 0.0139535744279
193 7125 1125 2.2085616224 0.00436
194 7375 1125 1.5971897136 0.0491602462984999
195 7625 1125 1.6394128064 0.506659458675999
196 7875 1125 1.3906613152 0.129799648649999
197 8125 1125 1.8454927664 0.0729970345818999
198 8375 1125 3.9541358832 0.0878306767777999
233 6875 1375 2.0165590656 0.00004
234 7125 1375 1.6944093232 0.0933457200496
235 7375 1375 1.1822017152 0.129054166992
236 7625 1375 1.4713356208 0.147955784429999
237 7875 1375 1.9794080112 0.144116701022999
238 8125 1375 2.8694921632 0.11523210905
239 8375 1375 5.4236024896 0.0197182577495
274 6875 1625 2.1135724336 0.00163
275 7125 1625 1.972391728 0.0894033601847999
276 7375 1625 1.9169486752 0.159082512143999
277 7625 1625 2.8131089936 0.144195216686999
278 7875 1625 4.1977652208 0.0717324411782
279 8125 1625 5.6342442352 0.0750348943687999
280 8375 1625 8.07933277759999 0.0136374848488
282 8875 1625 13.481345168 0.672632152250999
315 6875 1875 1.642623512 0.00248
316 7125 1875 2.0000050976 0.145916261217999
317 7375 1875 2.601130536 0.150897742687999
318 7625 1875 5.2976161152 0.11523210905
319 7875 1875 5.9479240944 0.0792968918314
320 8125 1875 9.0292073776 0.131111707698
321 8375 1875 9.1057239104 0.0295951670480999
323 8875 1875 11.785150512 0.071609678957
356 6875 2125 1.5386527568 0.00283
357 7125 2125 2.0881676128 0.113654793498
358 7375 2125 3.3462123456 0.160971240333999
359 7625 2125 7.9561928096 0.0643621155395999
360 7875 2125 10.8153070384 0.120244361401999
361 8125 2125 8.9339962624 0.375532749454999
362 8375 2125 7.914065392 0.113165623487
397 6875 2375 1.5490682048 0.00062
398 7125 2375 2.328246592 0.0696280979967999
399 7375 2375 4.8092228752 0.694177474389
400 7625 2375 9.1548897488 0.0955484876799
401 7875 2375 8.63782602879999 0.0608026646597
402 8125 2375 6.514992488 0.122563809401
403 8375 2375 7.0395954704 0.0614916607074
404 8625 2375 8.23592902719999 0.202543028983999
405 8875 2375 11.1624649936 0.123488729707
437 6625 2625 1.1229603968 0.00015
438 6875 2625 4.3028578576 0.00248
439 7125 2625 3.5804199024 0.363500077681999
440 7375 2625 3.9663849648 1.45368576058999
441 7625 2625 6.03330564 0.0651499327466
442 7875 2625 5.3121750704 0.215905163821
443 8125 2625 5.4998833872 1.05874453936
444 8375 2625 6.9424322864 1.14428690789999
445 8625 2625 9.2237979296 0.646804401157
446 8875 2625 11.567433016 0.0636581158998
447 9125 2625 15.297559952 0.0106804158508999
477 6375 2875 1.0213808288 0.0001
478 6625 2875 4.7209988576 0.141554751543999
479 6875 2875 11.9644648272 0.085221739916
480 7125 2875 7.455493136 0.137311820011999
481 7375 2875 4.5040166448 0.123569055835
482 7625 2875 4.3491700304 0.471865510009999
483 7875 2875 5.2830250128 1.34736203625999
484 8125 2875 6.4284890144 0.383401852598999
485 8375 2875 8.1244783968 0.12040659485
486 8625 2875 10.992212016 0.133726656396999
487 8875 2875 14.088490992 0.433135685229999
488 9125 2875 17.2653796799999 0.13882665556
489 9375 2875 20.8954712799999 0.0102515057641999
519 6625 3125 5.721046456 0.156467345029999
520 6875 3125 10.88185192 0.387113362397999
521 7125 3125 12.0436953807999 0.083080859715
522 7375 3125 15.0881005199999 0.271566512471999
523 7625 3125 13.6474857679999 0.464758745986
524 7875 3125 10.3096438896 1.45952592972999
525 8125 3125 10.923756888 0.183164252728999
526 8375 3125 12.5295657184 0.14709365041
527 8625 3125 13.285604144 0.131138997197
528 8875 3125 16.0993733759999 0.12468184775
529 9125 3125 22.446519456 0.138455874778
530 9375 3125 25.7722150399999 0.0323677155836
559 6375 3375 1.5737714352 0.00055
560 6625 3375 3.0859301088 0.180229144676999
561 6875 3375 4.2119029856 1.29450427242999
562 7125 3375 13.7063989696 0.625710220172
563 7375 3375 22.81908672 0.141059116238
564 7625 3375 23.637256944 0.766700670478
565 7875 3375 19.7693572479999 1.12478993201
566 8125 3375 19.4563760479999 0.134596681999999
567 8375 3375 19.529975232 0.166695386689999
568 8625 3375 17.92341168 0.00952113714565999
569 8875 3375 22.37522264 0.121651428293999
570 9125 3375 28.5297402879999 0.195729531599
571 9375 3375 31.359061216 0.0585024176449
599 6125 3625 1.326138712 0.00119
600 6375 3625 2.3348490912 0.100706168341999
601 6625 3625 2.1944465024 0.0438905537886999
602 6875 3625 3.8741854096 0.134816380277999
603 7125 3625 10.3719589296 0.500072624615999
604 7375 3625 16.7190973919999 0.973362660485999
605 7625 3625 22.2424247199999 1.36401332299999
606 7875 3625 23.5979086239999 0.242165785507999
607 8125 3625 21.3715230239999 0.0458916568993
608 8375 3625 22.305215472 0.0942711446760999
609 8625 3625 21.409944752 0.00974961614577
610 8875 3625 27.464775712 0.0324003096828
611 9125 3625 31.202984976 0.0223425176639
612 9375 3625 34.8920115999999 0.00334605652163
639 5875 3875 1.5732831152 0.00034
640 6125 3875 2.4358418896 0.075249381063
641 6375 3875 2.866317352 0.0100355314204
643 6875 3875 3.8979807168 0.0383530848815
644 7125 3875 7.6723102112 0.00607
645 7375 3875 9.826201232 0.0656420004068999
646 7625 3875 13.087066768 1.34222687386999
647 7875 3875 16.996447952 1.01046009422999
648 8125 3875 18.7688905119999 0.639081890630999
649 8375 3875 20.2479123359999 0.129896069616
678 5375 4125 1.334468232 0.00018
679 5625 4125 2.4250250864 0.11499249161
680 5875 4125 2.0707238368 0.0424361911996
681 6125 4125 2.227728384 0.00591412987049
683 6625 4125 2.8858855568 0.100130719944999
684 6875 4125 3.2024308512 0.00624
686 7375 4125 6.7790580192 1.43286301466999
687 7625 4125 10.1343510079999 0.975606484121999
717 4875 4375 1.088843776 0.00005
718 5125 4375 1.62107588 0.0972856818769
719 5375 4375 2.0555785904 0.0955241081548
720 5625 4375 2.2291715776 0.0283323660036999
721 5875 4375 2.0146460704 0.0220286756855
724 6625 4375 3.1545537824 0.00625
725 6875 4375 3.4524448112 0.00625
727 7375 4375 6.8630685936 1.63859829684
728 7625 4375 11.8000562816 1.62877823353
757 4625 4625 1.5980378976 0.0822165474992
758 4875 4625 1.9358424 0.105565019636
759 5125 4625 2 0.195739386400999
760 5375 4625 2 0.0866517738868
762 5875 4625 2.6778524704 0.420408165990999
763 6125 4625 3.180827592 0.114416077818999
764 6375 4625 3.9622670656 0.00625
765 6625 4625 3.5486226976 0.00625
766 6875 4625 4.0897802176 0.00625
767 7125 4625 6.02165496 0.0698463557401999
768 7375 4625 9.7719221392 1.42366893507999
769 7625 4625 14.2204168479999 0.0555307124679999
795 3875 4875 1.0295887648 0.00002
796 4125 4875 1.4822638384 0.00156
797 4375 4875 1.9504589328 0.109219361401
798 4625 4875 2 0.486374203052999
799 4875 4875 2.025608976 0.0921624467001
800 5125 4875 2.1258550304 0.0421131115024
805 6375 4875 3.9937894368 0.00625
806 6625 4875 4.4018786544 0.00625
807 6875 4875 6.1992960464 0.00625
808 7125 4875 8.5006963696 1.07184367442
809 7375 4875 10.2953867728 1.70500436497999
833 3125 5125 1.9313664704 0
835 3625 5125 1.5085392896 0.00098
836 3875 5125 1.8649086016 0.0849482922637999
837 4125 5125 1.994 0.0987302261659999
838 4375 5125 2 0.0866582582836
839 4625 5125 2.056853712 0.289994112458
840 4875 5125 2.475826968 0.331734899208999
842 5375 5125 2.9942079392 0.140637882592
843 5625 5125 3.534963648 0.00798408256767
846 6375 5125 4.0460259344 0.00625
847 6625 5125 5.0035766896 0.00625
848 6875 5125 6.854308928 0.00603
849 7125 5125 8.16502851199999 0.411385305616999
850 7375 5125 8.8455124448 1.21383721052
872 2625 5375 2.0534290912 0
873 2875 5375 2.8835783088 0
874 3125 5375 3.0471739872 0.113421655608999
875 3375 5375 2.1803710384 0.167388339626
